"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn2787218","INSTRUCTIONS.txt","1","text/plain","377","1918749","1414609666156","1918749","1414609666156","syn2787214","https://www.synapse.org/#!Synapse:syn2787218.1","b5ee8d0241939bcf7f086923cfde3e4a"
"syn2787231","net2_transcription_factors.tsv","1","text/tab-separated-values","387","1918749","1414610269451","1918749","1414610269451","syn2787221","https://www.synapse.org/#!Synapse:syn2787231.1","d4b71ba42381f243abc56c0dd29b58e2"
"syn3130852","saureus_tf_names.tsv","1","text/tab-separated-values","726","1918749","1421682225473","1918749","1421682225473","syn3130843","https://www.synapse.org/#!Synapse:syn3130852.1","e19340083915ef9afd8c51f37c8d7d4f"
"syn3130841","README.txt","1","text/plain","785","1918749","1421682102487","1918749","1421682102487","syn3130840","https://www.synapse.org/#!Synapse:syn3130841.1","83105bb2095a37a1039c21ef2084db3e"
"syn2787227","net1_transcription_factors.tsv","1","text/tab-separated-values","867","1918749","1414610224024","1918749","1414610224024","syn2787220","https://www.synapse.org/#!Synapse:syn2787227.1","d4cfec1596a7dde09ce324d6476e2dbe"
"syn3130856","yeast_tf_names.tsv","1","text/tab-separated-values","1468","1918749","1421682294239","1918749","1421682294239","syn3130844","https://www.synapse.org/#!Synapse:syn3130856.1","a3a5974fcac9f5fc6c57db3f1096ab6f"
"syn3130848","ecoli_tf_names.tsv","1","text/tab-separated-values","1507","1918749","1421682187247","1918749","1421682187247","syn3130842","https://www.synapse.org/#!Synapse:syn3130848.1","eae1891b8cd60c209334372745c0799c"
"syn2787239","net4_transcription_factors.tsv","1","text/tab-separated-values","1557","1918749","1414610402476","1918749","1414610402476","syn2787223","https://www.synapse.org/#!Synapse:syn2787239.1","675a4eb5f8aa067ce282d384bbae4e1f"
"syn2787235","net3_transcription_factors.tsv","1","text/tab-separated-values","1562","1918749","1414610323072","1918749","1414610323072","syn2787222","https://www.synapse.org/#!Synapse:syn2787235.1","489672e61c445c7d5d96841b13b36567"
"syn2787229","net2_chip_features.tsv","1","text/tab-separated-values","3975","1918749","1414610260760","1918749","1414610260760","syn2787221","https://www.synapse.org/#!Synapse:syn2787229.1","0b38b3b45e7e3f6cc79885b01f80962e"
"syn2787242","DREAM5_NetworkInference_GoldStandard_Network2 - S. aureus.txt","1","text/plain","6147","1918749","1414610598464","1918749","1414610598464","syn2787213","https://www.synapse.org/#!Synapse:syn2787242.1","dc810d29586d62d3fb0f999219948aca"
"syn3130850","saureus_experiments.tsv","1","text/tab-separated-values","10775","1918749","1421682218845","1918749","1421682218845","syn3130843","https://www.synapse.org/#!Synapse:syn3130850.1","dbd4c9a22c5322f53e290a10c91f6e0a"
